,name,link,site,max_salary,min_salary,currency
66,Аналитик,https://ekaterinburg.hh.ru/vacancy/55363383?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,45000.0,руб.
67,Экономист-аналитик,https://ekaterinburg.hh.ru/vacancy/55362476?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
68,Ведущий системный аналитик,https://ekaterinburg.hh.ru/vacancy/53943213?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,125000.0,руб.
69,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/55502363?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,30000.0,руб.
70,Аналитик бизнес-процессов,https://ekaterinburg.hh.ru/vacancy/55324728?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,54000.0,руб.
71,Аналитик,https://ekaterinburg.hh.ru/vacancy/53928507?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
72,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/55291591?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
73,Экономист-аналитик,https://ekaterinburg.hh.ru/vacancy/54896803?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
74,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/55409850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,35000.0,руб.
75,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/54965590?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
76,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/55284334?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
77,Аналитик,https://ekaterinburg.hh.ru/vacancy/55293193?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
